band inj_mag n_realizations n_requested_per_realization mean_valid_recovered std_valid_recovered mean_det_eff std_det_eff
F277W 27.30000000000002 20 100 95.75 2.593006789525688 0.9574999999999999 0.025930067895256866
F277W 27.40000000000002 20 100 95.15 2.158825216591069 0.9514999999999999 0.021588252165910673
F277W 27.50000000000002 20 100 95.6 1.984147702481637 0.9559999999999998 0.01984147702481636
F277W 27.600000000000023 20 100 94.9 2.245463262482353 0.9490000000000002 0.02245463262482351
F277W 27.700000000000024 20 100 94.6 2.4148662379867796 0.946 0.024148662379867784
F277W 27.800000000000026 20 100 94.45 2.394621165511528 0.9445000000000002 0.023946211655115256
F277W 27.900000000000027 20 100 93.95 2.625281939746262 0.9395 0.026252819397462594
F277W 28.00000000000003 20 100 94.35 2.412140346794021 0.9435 0.024121403467940183
F277W 28.10000000000003 20 100 93.35 2.4978938496682614 0.9335000000000001 0.024978938496682583
F277W 28.20000000000003 20 100 92.95 2.6650762801367187 0.9295000000000002 0.026650762801367165
F277W 28.300000000000033 20 100 93.35 2.6611236249690506 0.9335000000000001 0.026611236249690487
F277W 28.400000000000034 20 100 91.55 2.5021043774769813 0.9155 0.02502104377476981
F277W 28.500000000000036 20 100 92.3 3.326132573235295 0.9229999999999998 0.03326132573235293
F277W 28.600000000000037 20 100 89.35 2.852053738328889 0.8935000000000001 0.02852053738328889
F277W 28.70000000000004 20 100 88.9 2.100125309544522 0.889 0.021001253095445236
F277W 28.80000000000004 20 100 85.0 3.1455900626281967 0.8500000000000002 0.03145590062628198
F277W 28.90000000000004 20 100 84.6 3.545196898993281 0.8459999999999999 0.03545196898993282
F277W 29.000000000000043 20 100 81.35 3.9239480655396846 0.8135 0.039239480655396834
F277W 29.100000000000044 20 100 78.95 4.071402189599264 0.7895000000000001 0.040714021895992644
F277W 29.200000000000045 20 100 76.4 3.7190830788473144 0.764 0.03719083078847317
F277W 29.300000000000047 20 100 70.05 5.31606304663418 0.7005 0.0531606304663418
F277W 29.40000000000005 20 100 65.75 6.163346664375059 0.6575 0.061633466643750585
F277W 29.50000000000005 20 100 60.25 4.411408654363079 0.6024999999999999 0.04411408654363078
F277W 29.60000000000005 20 100 56.4 5.752802520694176 0.5640000000000001 0.05752802520694176
F277W 29.700000000000053 20 100 51.95 5.165421468512363 0.5195000000000001 0.05165421468512364
F277W 29.800000000000054 20 100 44.25 5.972524812135898 0.4425 0.05972524812135899
F277W 29.900000000000055 20 100 39.95 4.322219215561425 0.3995 0.04322219215561425
F277W 30.000000000000057 20 100 33.55 4.762518130922802 0.3355 0.04762518130922802
F277W 30.10000000000006 20 100 30.65 4.428080254110364 0.3065 0.04428080254110364
F277W 30.20000000000006 20 100 26.6 4.284611386910382 0.26599999999999996 0.042846113869103815
F277W 30.30000000000006 20 100 24.0 5.301439725008174 0.24000000000000005 0.05301439725008174
F277W 30.400000000000063 20 100 18.6 4.935371793172435 0.186 0.04935371793172436
F277W 30.500000000000064 20 100 17.4 4.284611386910382 0.174 0.04284611386910382
F277W 30.600000000000065 20 100 14.9 3.78222991869806 0.14900000000000002 0.0378222991869806
F277W 30.700000000000067 20 100 11.4 3.1854934344701817 0.11400000000000002 0.03185493434470181
F277W 30.800000000000068 20 100 10.0 2.635786110641877 0.10000000000000002 0.026357861106418766
F277W 30.90000000000007 20 100 9.25 2.197486602557807 0.09250000000000001 0.021974866025578067
F277W 31.00000000000007 20 100 8.0 3.2606102108912713 0.08000000000000003 0.03260610210891271
F277W 31.100000000000072 20 100 6.85 2.2542357790099112 0.06850000000000002 0.02254235779009911
F277W 31.200000000000074 20 100 6.15 2.3457688673327066 0.06150000000000001 0.023457688673327065
